transcript_id,gene_id,gene_name,cpg_density,loeuf,oe_lof_point_estimate,promoter_phastcons,exonic_phastcons,region_grch38,region_grch38_length,region_grch38_clipped
ENST00000307145,ENSG00000169926,KLF13,0.9083639981711872,0.943,0.19915,0.2160000000000002,0.7446326859420719,chr15:31324856-31328854,3999,chr15:31326356-31327354
ENST00000430430,ENSG00000205189,ZBTB10,0.9083257347268008,0.261,0.10102,0.5066500000000002,0.8981617552187335,chr8:80483668-80487666,3999,chr8:80485168-80486166
ENST00000360310,ENSG00000198604,BAZ1A,0.9076907654311986,0.177,0.097885,0.2963499999999999,0.9362321819215824,chr14:34873649-34877647,3999,chr14:34875149-34876147
ENST00000320876,ENSG00000101596,SMCHD1,0.9071472665130916,0.155,0.08864,0.0982499999999999,0.9281752724630998,chr18:2653739-2657737,3999,chr18:2655239-2656237
ENST00000354911,ENSG00000095787,WAC,0.9068665195147408,0.087,0.0,0.2254000000000002,0.9822231084100984,chr10:28531420-28535418,3999,chr10:28532920-28533918
ENST00000310826,ENSG00000173276,ZBTB21,0.905773855441512,0.247,0.095677,0.106025,0.8142857142857143,chr21:42008359-42012357,3999,chr21:42009859-42010857
ENST00000392485,ENSG00000161547,SRSF2,0.905484941244839,0.793,0.16719,0.3814499999999998,0.796446527855116,chr17:76735335-76739333,3999,chr17:76736835-76737833
ENST00000241125,ENSG00000121743,GJA3,0.9050951651498312,1.51,0.73336,0.030325,0.6852459016393442,chr13:20159051-20163049,3999,chr13:20160551-20161549
ENST00000308924,ENSG00000063244,U2AF2,0.9044908285895004,0.137,0.0,0.1790500000000001,0.7225547429285166,chr19:55653066-55657064,3999,chr19:55654566-55655564
ENST00000334344,ENSG00000189079,ARID2,0.9044417610909156,0.099,0.038193,0.6211500000000002,0.9365356763373676,chr12:45727666-45731664,3999,chr12:45729166-45730164
ENST00000361360,ENSG00000198914,POU3F3,0.904164178354756,0.415,0.0,0.6308249999999999,0.6056818181818181,chr2:104853512-104857510,3999,chr2:104855012-104856010
ENST00000366813,ENSG00000163041,H3F3A,0.9025067123936734,1.157,0.36973,0.36455,0.9776155717761558,chr1:226061978-226065976,3999,chr1:226063478-226064476
ENST00000231509,ENSG00000113580,NR3C1,0.9018257946333312,0.311,0.14806,0.3423249999999998,0.9371495245317576,chr5:143401691-143405689,3999,chr5:143403191-143404189
ENST00000361642,ENSG00000148516,ZEB1,0.900931136194983,0.316,0.16826,0.3601500000000002,0.9689577068533304,chr10:31317173-31321171,3999,chr10:31318673-31319671
ENST00000372037,ENSG00000107779,BMPR1A,0.9001254357308728,0.373,0.17736,0.1456750000000001,0.8664618562937714,chr10:86754651-86758649,3999,chr10:86756151-86757149
ENST00000538197,ENSG00000137449,CPEB2,0.8989362587604668,0.571,0.3525,0.3813499999999999,0.9601065259984348,chr4:15000675-15004673,3999,chr4:15002175-15003173
ENST00000345617,ENSG00000068024,HDAC4,0.8985968065251952,0.052,0.0,0.2710749999999998,0.8363269564811376,chr2:239398951-239402949,3999,chr2:239400451-239401449
ENST00000270722,ENSG00000142611,PRDM16,0.8974599596619377,0.185,0.080679,0.3144249999999997,0.911040550361779,chr1:3067212-3071210,3999,chr1:3068712-3069710
ENST00000370445,ENSG00000143032,BARHL2,0.8960270226279055,0.547,0.17392,0.4711000000000004,0.9319587628865978,chr1:90715239-90719237,3999,chr1:90716739-90717737
ENST00000370873,ENSG00000101182,PSMA7,0.8931858215682684,0.223,0.0,0.071025,0.9058902275769746,chr20:62141432-62145430,3999,chr20:62142932-62143930
ENST00000312239,ENSG00000127483,HP1BP3,0.8931271405163259,0.306,0.11837,0.1333749999999999,0.8902740567431845,chr1:20784690-20788688,3999,chr1:20786190-20787188
ENST00000331758,ENSG00000184402,SS18L1,0.8930864231888751,0.32,0.13976,0.071475,0.8871536523929471,chr20:62141796-62145794,3999,chr20:62143296-62144294
ENST00000529859,ENSG00000204965,PCDHA5,0.892458723784025,0.897,0.59051,0.1842749999999999,0.973958576204356,chr5:140819777-140823775,3999,chr5:140821277-140822275
ENST00000288840,ENSG00000137834,SMAD6,0.8917189899385165,1.976,2.0042,0.4902750000000001,0.9570867685610468,chr15:66700229-66704227,3999,chr15:66701729-66702727
ENST00000322038,ENSG00000179981,TSHZ1,0.890882940128373,0.237,0.075386,0.5844499999999999,0.6118393234672307,chr18:75208756-75212754,3999,chr18:75210256-75211254
ENST00000527636,ENSG00000187079,TEAD1,0.8893884633845169,0.118,0.0,0.3448499999999999,0.9597719326361434,chr11:12672592-12676590,3999,chr11:12674092-12675090
ENST00000238156,ENSG00000119242,CCDC92,0.8879049412497997,0.725,0.28054,0.1917500000000002,0.9359167732119744,chr12:123970826-123974824,3999,chr12:123972326-123973324
ENST00000371116,ENSG00000187140,FOXD3,0.8870873349801945,0.694,0.14632,0.4326499999999997,0.6644398051496169,chr1:63321060-63325058,3999,chr1:63322560-63323558
ENST00000229595,ENSG00000111875,ASF1A,0.8858076856438342,0.53,0.11169,0.2721249999999998,0.7317804878002167,chr6:118892221-118896218,3998,chr6:118893721-118894718
ENST00000375759,ENSG00000065526,SPEN,0.8856533021583372,0.06,0.023052,0.2869,0.6980263756252855,chr1:15845865-15849863,3999,chr1:15847365-15848363
ENST00000321919,ENSG00000140632,GLYR1,0.8854039042718288,0.198,0.062911,0.2242250000000001,0.906519590184457,chr16:4845344-4849342,3999,chr16:4846844-4847842
ENST00000392185,ENSG00000130340,SNX9,0.8853658705290752,0.368,0.204,0.107925,0.8829503048400239,chr6:157821265-157825263,3999,chr6:157822765-157823763
ENST00000267984,ENSG00000140406,MESDC1,0.8846977964376851,0.388,0.0,0.4063,0.4875,chr15:80998955-81002953,3999,chr15:81000455-81001453
ENST00000341776,ENSG00000008083,JARID2,0.8846071198338228,0.185,0.087828,0.6463500000000003,0.9331491111735952,chr6:15244297-15248295,3999,chr6:15245797-15246795
ENST00000331768,ENSG00000183576,SETD3,0.8838133068520357,0.466,0.25812,0.1157,0.915740602396892,chr14:99478881-99482879,3999,chr14:99480381-99481379
ENST00000268616,ENSG00000140948,ZCCHC14,0.8829862740144598,0.315,0.14974,0.2410750000000003,0.5006777518052191,chr16:87490047-87494045,3999,chr16:87491547-87492545
ENST00000282928,ENSG00000152977,ZIC1,0.8825185252811126,0.355,0.074845,0.7057749999999998,0.7901598259437347,chr3:147407385-147411383,3999,chr3:147408885-147409883
ENST00000357006,ENSG00000198081,ZBTB14,0.882355701989055,0.51,0.1621,0.2523000000000001,0.8458421481474016,chr18:5294042-5298040,3999,chr18:5295542-5296540
ENST00000409185,ENSG00000152102,FAM168B,0.8818897637795275,1.148,0.50249,0.0841,0.9737087878217416,chr2:131091430-131095428,3999,chr2:131092930-131093928
ENST00000250559,ENSG00000127314,RAP1B,0.8807706346309492,0.383,0.080723,0.2628500000000001,0.7944875673952168,chr12:68608840-68612838,3999,chr12:68610340-68611338
ENST00000389879,ENSG00000090061,CCNK,0.8801440853637815,0.165,0.034724,0.11385,0.795696273797679,chr14:99479410-99483408,3999,chr14:99480910-99481908
ENST00000303538,ENSG00000121892,PDS5A,0.8799439651682981,0.198,0.10537,0.252975,0.9025872143808388,chr4:39975958-39979956,3999,chr4:39977458-39978456
ENST00000409886,ENSG00000153165,RGPD3,0.8784487246225924,1.735,1.4079,0.156,0.8925823601605654,chr2:106466378-106470376,3999,chr2:106467878-106468876
ENST00000345122,ENSG00000100852,ARHGAP5,0.8784299653020163,0.263,0.13983,0.4146749999999999,0.9752575297014134,chr14:32075290-32079288,3999,chr14:32076790-32077788
ENST00000409871,ENSG00000188177,ZC3H6,0.8782293224042573,0.411,0.24239,0.216825,0.7566025414799451,chr2:112273595-112277593,3999,chr2:112275095-112276093
ENST00000451899,ENSG00000164823,OSGIN2,0.8774863457317709,0.436,0.20715,0.0728749999999999,0.9737533222590402,chr8:89900535-89904533,3999,chr8:89902035-89903033
ENST00000563496,ENSG00000261787,TCF24,0.8771073274436947,1.781,0.5497,0.1261750000000001,0.2499989117229207,chr8:66960592-66964590,3999,chr8:66962092-66963090
ENST00000398640,ENSG00000249158,PCDHA11,0.8766865524835888,1.158,0.84491,0.1662250000000001,0.97303648484681,chr5:140867105-140871103,3999,chr5:140868605-140869603
ENST00000307360,ENSG00000250120,PCDHA10,0.8764878251173405,1.245,0.87865,0.1657249999999999,0.9454669593856152,chr5:140854050-140858048,3999,chr5:140855550-140856548
ENST00000429433,ENSG00000178409,BEND3,0.8764200659869035,0.348,0.15206,0.2366749999999998,0.6802803235535385,chr6:107112434-107116432,3999,chr6:107113934-107114932
ENST00000286371,ENSG00000069849,ATP1B3,0.8760111552812938,0.685,0.29914,0.1675250000000001,0.7508021669586187,chr3:141874615-141878613,3999,chr3:141876115-141877113
ENST00000216554,ENSG00000100664,EIF5,0.875444112159088,0.282,0.089602,0.2194999999999999,0.970344248532614,chr14:103332003-103336001,3999,chr14:103333503-103334501
ENST00000262126,ENSG00000101745,ANKRD12,0.8754050381519808,0.2,0.11482,0.142625,0.9035665807044184,chr18:9134778-9138776,3999,chr18:9136278-9137276
ENST00000379561,ENSG00000150907,FOXO1,0.8752188047011753,0.176,0.0,0.2640750000000003,0.532533775705404,chr13:40664599-40668597,3999,chr13:40666099-40667097
ENST00000442791,ENSG00000015153,YAF2,0.8749605468703181,0.546,0.1151,0.1822249999999999,0.7550191876169071,chr12:42236238-42240236,3999,chr12:42237738-42238736
ENST00000558939,ENSG00000140332,TLE3,0.8748368766209095,0.077,0.0,0.5320250000000001,0.8386176233754148,chr15:70096178-70100176,3999,chr15:70097678-70098676
ENST00000297375,ENSG00000164778,EN2,0.8747491784686073,0.635,0.13389,0.267975,0.9132737154502768,chr7:155456130-155460128,3999,chr7:155457630-155458628
ENST00000269499,ENSG00000141664,ZCCHC2,0.8747277632981572,0.291,0.14749,0.2005499999999999,0.9112811451104676,chr18:62521008-62525006,3999,chr18:62522508-62523506
ENST00000377687,ENSG00000102554,KLF5,0.8747030004836098,0.428,0.13581,0.4069499999999998,0.9153706131946776,chr13:73056793-73060791,3999,chr13:73058293-73059291
ENST00000215832,ENSG00000100030,MAPK1,0.8744804283837742,0.173,0.0,0.11165,0.9649749166043212,chr22:21865631-21869629,3999,chr22:21867131-21868129
ENST00000553612,ENSG00000165417,GTF2A1,0.8743169398907104,0.273,0.08664,0.3481749999999998,0.984778330898899,chr14:81218924-81222922,3999,chr14:81220424-81221422
ENST00000289272,ENSG00000239389,PCDHA13,0.8742394707306989,1.193,0.84845,0.20465,0.973511763716892,chr5:140880270-140884268,3999,chr5:140881770-140882768
ENST00000262461,ENSG00000064651,SLC12A2,0.8742133234419995,0.314,0.18944,0.2316750000000002,0.9108488097128076,chr5:128081767-128085765,3999,chr5:128083267-128084265
ENST00000262367,ENSG00000005339,CREBBP,0.8741723418958908,0.066,0.02544,0.2676249999999996,0.7863464205032747,chr16:3878728-3882726,3999,chr16:3880228-3881226
ENST00000302006,ENSG00000170549,IRX1,0.8735553703573544,1.126,0.5996,0.2125500000000001,0.7745518411541107,chr5:3594055-3598053,3999,chr5:3595555-3596553
ENST00000358835,ENSG00000009413,REV3L,0.8725562529267693,0.107,0.059236,0.2716750000000004,0.857890137050161,chr6:111481714-111485712,3999,chr6:111483214-111484212
ENST00000315596,ENSG00000083642,PDS5B,0.8719048314005486,0.166,0.08846,0.1544500000000001,0.949542006670673,chr13:32584428-32588426,3999,chr13:32585928-32586926
ENST00000434724,ENSG00000103342,GSPT1,0.870461774706592,0.159,0.033468,0.2152749999999999,0.9698122865736124,chr16:11913922-11917920,3999,chr16:11915422-11916420
ENST00000240285,ENSG00000121039,RDH10,0.8703782300874069,0.233,0.0,0.2632999999999999,0.6514968076164463,chr8:73292613-73296611,3999,chr8:73294113-73295111
ENST00000394166,ENSG00000185551,NR2F2,0.8700984646001828,0.216,0.0,0.6329000000000004,0.9540095999667552,chr15:96328718-96332716,3999,chr15:96330218-96331216
ENST00000262187,ENSG00000106615,RHEB,0.8700443722629854,0.249,0.0,0.14805,0.986516035911136,chr7:151517926-151521924,3999,chr7:151519426-151520424
ENST00000406360,ENSG00000118689,FOXO3,0.8699910040197228,0.172,0.0,0.3957250000000005,0.6233094075448439,chr6:108558867-108562865,3999,chr6:108560367-108561365
ENST00000358677,ENSG00000196141,SPATS2L,0.8693643138733924,0.434,0.20658,0.2017750000000001,0.8191149370442314,chr2:200303987-200307985,3999,chr2:200305487-200306485
ENST00000375774,ENSG00000153487,ING1,0.8681929974561153,0.667,0.31736,0.3196000000000001,0.820719578852096,chr13:110712983-110716981,3999,chr13:110714483-110715481
ENST00000428670,ENSG00000070961,ATP2B1,0.8677134470657745,0.088,0.018449,0.4045749999999997,0.9012538669662434,chr12:89706833-89710831,3999,chr12:89708333-89709331
ENST00000295470,ENSG00000152795,HNRNPDL,0.8673311005277304,0.454,0.1982,0.3279000000000001,0.8308459913684796,chr4:82427868-82431866,3999,chr4:82429368-82430366
ENST00000443187,ENSG00000115825,PRKD3,0.8667742806715616,1.158,0.5511,0.1605999999999999,0.8784423016674008,chr2:37322810-37326808,3999,chr2:37324310-37325308
ENST00000323373,ENSG00000177463,NR2C2,0.8667290897256054,0.222,0.070635,0.193875,0.890104130425768,chr3:14945730-14949728,3999,chr3:14947230-14948228
ENST00000286548,ENSG00000156052,GNAQ,0.8664483354392841,0.227,0.047819,0.2770749999999994,0.8440080048718963,chr9:78029460-78033458,3999,chr9:78030960-78031958
ENST00000371471,ENSG00000171940,ZNF217,0.8663710003728886,0.144,0.030288,0.3171499999999996,0.5080394026056564,chr20:53591841-53595839,3999,chr20:53593341-53594339
ENST00000376945,ENSG00000125285,SOX21,0.865834788702269,0.735,0.0,0.3852249999999993,0.8427672955974843,chr13:94710137-94714135,3999,chr13:94711637-94712635
ENST00000397712,ENSG00000186522,SEPT10,0.8656603365254558,1.203,0.80193,0.19985,0.9262994096693092,chr2:109612208-109616206,3999,chr2:109613708-109614706
ENST00000378536,ENSG00000157933,SKI,0.8651703632899327,0.203,0.042767,0.3333,0.8564700502972108,chr1:2226696-2230694,3999,chr1:2228196-2229194
ENST00000315691,ENSG00000181744,C3orf58,0.8650407343808503,0.853,0.47276,0.2665749999999999,0.6310268088303664,chr3:143969799-143973797,3999,chr3:143971299-143972297
ENST00000383202,ENSG00000118007,STAG1,0.8649607315096473,0.119,0.052104,0.2990499999999998,0.9690512107695394,chr3:136750370-136754368,3999,chr3:136751870-136752868
ENST00000282516,ENSG00000164190,NIPBL,0.8648036398284168,0.031,0.0064874,0.4289999999999998,0.9765921073826238,chr5:36874760-36878758,3999,chr5:36876260-36877258
ENST00000408965,ENSG00000221869,CEBPD,0.8645293579761146,1.017,0.0,0.2004250000000001,0.8834710743801654,chr8:47737088-47741086,3999,chr8:47738588-47739586
ENST00000325222,ENSG00000055130,CUL1,0.8644053476144362,0.144,0.055774,0.1582750000000001,0.930807364265927,chr7:148696913-148700911,3999,chr7:148698413-148699411
ENST00000378693,ENSG00000198944,SOWAHA,0.8642586873807692,0.598,0.12613,0.2128250000000001,0.5135135135135137,chr5:132811342-132815340,3999,chr5:132812842-132813840
ENST00000011619,ENSG00000010017,RANBP9,0.8637038175223508,0.082,0.0,0.2485250000000003,0.9395961038159428,chr6:13709566-13713564,3999,chr6:13711066-13712064
ENST00000234310,ENSG00000221823,PPP3R1,0.8629989212513485,0.664,0.21102,0.2000249999999999,0.6926819133073744,chr2:68250533-68254531,3999,chr2:68252033-68253031
ENST00000461166,ENSG00000163659,TIPARP,0.8626035448192882,0.113,0.0,0.1803000000000001,0.6336698538448851,chr3:156672846-156676844,3999,chr3:156674346-156675344
ENST00000366574,ENSG00000198626,RYR2,0.8625713058946206,0.251,0.19808,0.097575,0.8516774020397209,chr1:237040206-237044204,3999,chr1:237041706-237042704
ENST00000313899,ENSG00000138668,HNRNPD,0.8624290333060037,0.225,0.047487,0.2632249999999997,0.9553003538158914,chr4:82371958-82375956,3999,chr4:82373458-82374456
ENST00000258962,ENSG00000136450,SRSF1,0.8621618708912598,0.246,0.0,0.3533250000000001,0.7178093983275977,chr17:58005348-58009346,3999,chr17:58006848-58007846
ENST00000339399,ENSG00000136938,ANP32B,0.8618467183193491,0.329,0.069345,0.2676250000000002,0.9180869764842556,chr9:97981362-97985360,3999,chr9:97982862-97983860
ENST00000409792,ENSG00000181555,SETD2,0.8617130136617417,0.192,0.12086,0.1959250000000001,0.9420374824040028,chr3:47161969-47165967,3999,chr3:47163469-47164467
ENST00000368468,ENSG00000111885,MAN1A1,0.8615208957741363,0.462,0.256,0.3043749999999999,0.9336690412849084,chr6:119347763-119351761,3999,chr6:119349263-119350261
ENST00000539644,ENSG00000179195,ZNF664,0.8614990937200128,1.434,0.69044,0.1971000000000002,0.9257575757575758,chr12:123971124-123975122,3999,chr12:123972624-123973622
ENST00000371097,ENSG00000196233,LCOR,0.8609682958208794,0.335,0.10628,0.4023000000000002,0.9416731729638744,chr10:96830981-96834979,3999,chr10:96832481-96833479
ENST00000326639,ENSG00000138709,LARP1B,0.8605903952072664,0.674,0.4829,0.141025,0.8046813118056946,chr4:128059269-128063267,3999,chr4:128060769-128061767
ENST00000279488,ENSG00000139318,DUSP6,0.8602150537634409,0.253,0.0,0.3753749999999999,0.9812020892846846,chr12:89351273-89355271,3999,chr12:89352773-89353771
ENST00000337386,ENSG00000138386,NAB1,0.8601998491704375,0.582,0.31,0.331225,0.8294975633290088,chr2:190647234-190651232,3999,chr2:190648734-190649732
ENST00000376263,ENSG00000165119,HNRNPK,0.8597353189305574,0.094,0.0,0.1503250000000001,0.9833538823230084,chr9:83978271-83982269,3999,chr9:83979771-83980769
ENST00000404141,ENSG00000157212,PAXIP1,0.8591598789870388,0.1,0.031763,0.08505,0.8389892886139588,chr7:155001086-155005084,3999,chr7:155002586-155003584
ENST00000344836,ENSG00000187555,USP7,0.8591012740390334,0.063,0.013337,0.22215,0.9484017989891196,chr16:8961486-8965484,3999,chr16:8962986-8963984
ENST00000315367,ENSG00000175895,PLEKHF2,0.8590546082451975,0.514,0.0,0.1353,0.8770833333333334,chr8:95131805-95135803,3999,chr8:95133305-95134303
ENST00000344204,ENSG00000038382,TRIO,0.8590227660150711,0.14,0.089844,0.1889999999999999,0.8998410463449324,chr5:14141703-14145701,3999,chr5:14143203-14144201
ENST00000321680,ENSG00000164506,STXBP5,0.8587418840521194,0.254,0.14948,0.1813749999999999,0.939092352313393,chr6:147202534-147206532,3999,chr6:147204034-147205032
ENST00000304363,ENSG00000110066,SUV420H1,0.8585364832199306,0.077,0.0,0.126975,0.7480415467713867,chr11:68211417-68215415,3999,chr11:68212917-68213915
ENST00000543491,ENSG00000169851,PCDH7,0.8577103089610953,0.413,0.22009,0.7584500000000005,0.7282464315466374,chr4:30719424-30723422,3999,chr4:30720924-30721922
ENST00000306904,ENSG00000170748,RBMXL2,0.8572449101083462,0.718,0.3138,0.4127250000000002,0.7295010845986987,chr11:7086935-7090933,3999,chr11:7088435-7089433
ENST00000262419,ENSG00000120071,KANSL1,0.857207308820212,0.229,0.10874,0.6507750000000009,0.9336973950720124,chr17:46190802-46194800,3999,chr17:46192302-46193300
ENST00000338179,ENSG00000143815,LBR,0.8564787641161693,0.436,0.24994,0.0536249999999999,0.7594340399425824,chr1:225426819-225430817,3999,chr1:225428319-225429317
