chr,start,end,transcript_id,gene_id,gene_name,cpg_density,loeuf,oe_lof_point_estimate,promoter_phastcons,exonic_phastcons
chr1,33500594,33504593,ENST00000354858,ENSG00000004455,AK2,0.48462419596440215,1.319,0.73211,0.09667500000000002,0.9576723372744461
chr12,2902119,2906118,ENST00000001008,ENSG00000004478,FKBP4,0.805812371712109,0.481,0.22874,0.07227500000000002,0.8607654511129539
chr1,23343986,23347985,ENST00000400181,ENSG00000004487,KDM1A,0.6991166282363098,0.254,0.12858,0.14477500000000013,0.9044849866970734
chr3,49975466,49979465,ENST00000266022,ENSG00000004534,RBM6,0.676648913007068,0.135,0.059091,0.16185000000000002,0.9476535553798509
chr12,21652528,21656527,ENST00000444129,ENSG00000004700,RECQL,0.4893315527101832,1.306,0.96256,0.07187499999999993,0.8007579951462462
chr7,92859653,92863652,ENST00000305866,ENSG00000004766,CCDC132,0.4894622589636749,0.343,0.21194,0.06625,0.9346502777525593
chr19,36246981,36250980,ENST00000592984,ENSG00000004776,HSPB6,0.5041935876772821,1.342,0.43551,0.19732500000000003,0.6813882641591578
chr16,23605613,23609612,ENST00000570319,ENSG00000004779,NDUFAB1,0.638433709299851,0.753,0.15869,0.09469999999999995,0.7978985188287218
chr6,110795845,110799844,ENST00000368919,ENSG00000004809,SLC22A16,0.624512099921936,1.837,1.4172,0.027425,0.6388818386501204
chr3,50382284,50386283,ENST00000231749,ENSG00000004838,ZMYND10,0.35372049649495146,0.868,0.56353,0.2206250000000002,0.679217745572557
chr7,95949460,95953459,ENST00000416240,ENSG00000004864,SLC25A13,0.4945479108366303,1.14,0.85952,0.2029,0.8203894668844997
chr7,116591381,116595380,ENST00000265437,ENSG00000004866,ST7,0.8144244543408097,0.26,0.1138,0.12857500000000005,0.9120853974763495
chr17,45264543,45268542,ENST00000531206,ENSG00000004897,CDC27,0.5075974650582595,0.25,0.11876,0.16237499999999994,0.9630431036546895
chr17,42343510,42347509,ENST00000262418,ENSG00000004939,SLC4A1,0.17428610776327902,0.357,0.19784,0.09705,0.7392141364673643
chr7,93202043,93206042,ENST00000359558,ENSG00000004948,CALCR,0.4494132042938984,0.831,0.53997,0.1980000000000002,0.6903086289608585
chr17,7135865,7139864,ENST00000005340,ENSG00000004975,DVL2,0.5117026393622138,0.664,0.42494,0.36105000000000004,0.7483404426517641
chr16,2906172,2910171,ENST00000161006,ENSG00000005001,PRSS22,0.3169639492161907,0.962,0.48763,0.037999999999999964,0.5669268251452195
chr19,18940747,18944746,ENST00000262803,ENSG00000005007,UPF1,0.6842145091312682,0.166,0.072737,0.1944,0.8969550153395978
chr7,26902363,26906362,ENST00000345317,ENSG00000005020,SKAP2,0.5467691333052063,0.667,0.38226,0.16615000000000005,0.8742998639270426
chr4,110479361,110483360,ENST00000394650,ENSG00000005059,CCDC109B,0.6696031150091731,1.363,0.85785,0.08892500000000009,0.7521829404111615
chr17,5370381,5374380,ENST00000225296,ENSG00000005100,DHX33,0.552044552203541,0.675,0.43192,0.10662499999999998,0.8434559584518102
chr17,41737323,41741322,ENST00000318579,ENSG00000005102,MEOX1,0.2490424143785164,1.267,0.67525,0.24912500000000004,0.28591623623604295
chr7,11869825,11873824,ENST00000423059,ENSG00000005108,THSD7A,0.5181305203163834,0.215,0.13758,0.32192499999999996,0.7989831939797133
chr17,33305513,33309512,ENST00000378526,ENSG00000005156,LIG3,0.6762504711139826,0.644,0.45423,0.063175,0.9054074309517461
chr12,48097845,48101844,ENST00000005386,ENSG00000005175,RPAP3,0.5381381381381382,0.61,0.39032,0.035274999999999994,0.8465933756343857
chr16,57479441,57483440,ENST00000394391,ENSG00000005194,CIAPIN1,0.5116275351544076,0.814,0.43348,0.05887499999999998,0.8232072125688176
chr16,3928728,3932727,ENST00000262367,ENSG00000005339,CREBBP,0.8741723418958908,0.066,0.02544,0.26762499999999967,0.7863464205032747
chr17,56403446,56407445,ENST00000343736,ENSG00000005379,BZRAP1,0.23113336395099973,0.369,0.26079,0.2816749999999999,0.5950210345829696
chr17,56356297,56360296,ENST00000225275,ENSG00000005381,MPO,0.32004016190267015,1.149,0.8227,0.17710000000000026,0.7530840577570113
chr7,94952020,94956019,ENST00000222381,ENSG00000005421,PON1,0.23991673478028214,1.3,0.86693,0.026700000000000005,0.7692981752392165
chr2,75936116,75940115,ENST00000321027,ENSG00000005436,GCFC2,0.5996245828698554,1.197,0.91613,0.09457499999999999,0.7660511708088824
chr2,74646857,74650856,ENST00000348227,ENSG00000005448,WDR54,0.49806720190306275,1.316,0.88733,0.14807500000000007,0.8983908774339743
chr7,86972997,86976996,ENST00000419147,ENSG00000005469,CROT,0.46096705890520323,1.134,0.86478,0.03712499999999999,0.8376426093885518
chr7,104652626,104656625,ENST00000311117,ENSG00000005483,KMT2E,0.6851466911115989,0.06,0.012596,0.4892750000000002,0.8711418414004835
chr7,75506266,75510265,ENST00000006777,ENSG00000005486,RHBDD2,0.4791696453758197,0.541,0.17179,0.08692500000000006,0.761566883560366
chr6,82955472,82959471,ENST00000306270,ENSG00000005700,IBTK,0.546339094464631,0.418,0.2817,0.08895000000000002,0.910782022572113
chr11,3398398,3402397,ENST00000399602,ENSG00000005801,ZNF195,0.4192600276625173,1.286,0.61375,0.04334999999999999,0.72133402085193
chr13,77898815,77902814,ENST00000544440,ENSG00000005810,MYCBP2,0.6364873279062796,0.113,0.076505,0.2643749999999996,0.9544168303290794
chr13,77599286,77603285,ENST00000355619,ENSG00000005812,FBXL3,0.7053393783228415,0.286,0.0602,0.08882500000000006,0.9354665620659739
chr17,34898737,34902736,ENST00000304718,ENSG00000005955,GGNBP2,0.736412980399408,0.075,0,0.348925,0.9106561272543974
chr7,95113213,95117212,ENST00000325885,ENSG00000005981,ASB4,0.24139595834195463,1.377,0.88129,0.19707500000000014,0.7881080088412362
chr16,19531468,19535467,ENST00000353258,ENSG00000006007,GDE1,0.5831959332847336,1.162,0.68514,0.15035000000000004,0.8712054970951671
chr19,18697535,18701534,ENST00000358607,ENSG00000006015,C19orf60,0.5866456228642898,1.463,0.74943,0.09402499999999997,0.8596499665713316
chr19,18715661,18719660,ENST00000392386,ENSG00000006016,CRLF1,0.6364756789823586,0.922,0.54348,0.24672500000000014,0.9277801039554299
chr17,45897137,45901136,ENST00000007414,ENSG00000006025,OSBPL7,0.19086883493663154,0.464,0.30125,0.2021750000000001,0.8359740976944057
chr17,7195884,7199883,ENST00000007699,ENSG00000006047,YBX2,0.628992628992629,0.152,0,0.25284999999999996,0.8648374243042419
chr11,17496393,17500392,ENST00000389817,ENSG00000006071,ABCC8,0.4907557638763696,0.762,0.60229,0.11775000000000008,0.8919003004550631
chr17,34389640,34393639,ENST00000004921,ENSG00000006074,CCL18,0.13419366382250653,1.8,0.86518,0.07974999999999997,0.8584689425237371
chr17,35967545,35971544,ENST00000339208,ENSG00000006114,SYNRG,0.5721977235992138,0.32,0.19309,0.08397499999999998,0.876737916119474
chr16,24264874,24268873,ENST00000005284,ENSG00000006116,CACNG3,0.3958001687587533,0.215,0,0.34164999999999973,0.9489486636867356
chr7,97359220,97363219,ENST00000319273,ENSG00000006128,TAC1,0.6996777366659944,0.532,0.11221,0.14275,0.9157621947723491
chr16,3330943,3334942,ENST00000219069,ENSG00000006194,ZNF263,0.6434330654584794,0.973,0.66321,0.0914,0.8860570166000739
chr17,48622450,48626449,ENST00000006658,ENSG00000006282,SPATA20,0.3237831751276703,0.705,0.49386,0.132375,0.802358507819427
chr16,3068313,3072312,ENST00000326577,ENSG00000006327,TNFRSF12A,0.6327945790597728,1.372,0.44742,0.198125,0.7155806226315935
chr7,96632860,96636859,ENST00000518156,ENSG00000006377,DLX6,0.6924390127159883,0.383,0.080685,0.5297000000000004,0.6011208216210452
chr7,39661082,39665081,ENST00000005257,ENSG00000006451,RALA,0.6189693752685085,0.265,0,0.14322500000000002,0.9279761341224836
chr7,139874836,139878835,ENST00000397560,ENSG00000006459,KDM7A,0.9674981946539452,0.232,0.11743,0.23707500000000015,0.9037228778338291
chr7,141248989,141252988,ENST00000355413,ENSG00000006530,AGK,0.4495960660344222,0.892,0.6013,0.026300000000000004,0.8602972242295684
chr7,77426122,77430121,ENST00000422959,ENSG00000006576,PHTF2,0.6921807718620467,0.499,0.30798,0.11932500000000003,0.906048499420243
chr11,17563855,17567854,ENST00000005226,ENSG00000006611,USH1C,0.3292197659516215,0.883,0.66356,0.06837499999999999,0.9188870291539005
chr7,30542461,30546460,ENST00000275428,ENSG00000006625,GGCT,0.5077007897127127,1.3,0.69317,0.07224999999999997,0.757969978856749
chr7,112088483,112092482,ENST00000403825,ENSG00000006652,IFRD1,0.603573392737662,0.616,0.34122,0.14827500000000018,0.9527478870863819
chr17,13970846,13974845,ENST00000261643,ENSG00000006695,COX10,0.4312543473220496,0.644,0.30639,0.04397499999999999,0.8103021770515506
chr19,39879836,39883835,ENST00000221265,ENSG00000006712,PAF1,0.4813731949587413,0.658,0.4061,0.23952500000000013,0.9104077999235535
chr7,38946830,38950829,ENST00000310301,ENSG00000006715,VPS41,0.19784294661632035,0.827,0.62643,0.03982499999999996,0.9279357979609705
chr17,12919505,12923504,ENST00000338034,ENSG00000006744,ELAC2,0.5885840108401084,1.032,0.78114,0.11895000000000001,0.7933753773931028
chr7,12608312,12612311,ENST00000297029,ENSG00000006747,SCIN,0.5457825662898409,1.621,1.265,0.08812499999999995,0.8037240915770956
chr4,16083325,16087324,ENST00000510224,ENSG00000007062,PROM1,0.6329227726332823,0.986,0.74077,0.033775000000000006,0.5065464766430466
chr19,18043905,18047904,ENST00000597436,ENSG00000007080,CCDC124,0.41036912354892785,0.797,0.25327,0.12890000000000001,0.6379227812706342
chr17,2495040,2499039,ENST00000397195,ENSG00000007168,PAFAH1B1,0.7254486070085492,0.109,0,0.39460000000000056,0.861185373690351
chr17,11499748,11503747,ENST00000262442,ENSG00000007174,DNAH9,0.4673572223685664,0.717,0.61992,0.1295000000000001,0.8067248901334265
chr17,26970150,26974149,ENST00000528896,ENSG00000007202,KIAA0100,0.5465995804160055,0.425,0.32307,0.17912500000000028,0.9512065456996915
chr17,26798311,26802310,ENST00000444914,ENSG00000007216,SLC13A2,0.1705254087394272,1.157,0.81644,0.07630000000000003,0.7768392070623792
chr19,45679496,45683495,ENST00000006275,ENSG00000007255,TRAPPC6A,0.7191146899150823,1.908,1.3854,0.18564999999999984,0.6900929670465977
chr19,3799811,3803810,ENST00000395045,ENSG00000007264,MATK,0.5132003853844403,0.767,0.49031,0.0226,0.7588118384301573
chr17,62048279,62052278,ENST00000435607,ENSG00000007314,SCN4A,0.2278188514675331,0.335,0.22048,0.21280000000000024,0.7087726914060388
chr1,113160041,113164040,ENST00000358039,ENSG00000007341,ST7L,0.5962792176816664,0.876,0.59718,0.18412500000000015,0.8892716399842163
chr11,31837510,31841509,ENST00000419022,ENSG00000007372,PAX6,0.6674324856143038,0.175,0.036864,0.1973000000000001,0.9235300708944257
chr1,6759985,6763984,ENST00000377577,ENSG00000007923,DNAJC11,0.5681818181818182,0.179,0.056812,0.15497499999999992,0.8989285714285714
chr1,171058018,171062017,ENST00000367755,ENSG00000007933,FMO3,0.16634144781037075,1.615,1.1361,0.057275000000000006,0.48180112570356476
chr6,16127356,16131355,ENST00000356840,ENSG00000007944,MYLIP,0.6208239069816384,0.555,0.26399,0.20262499999999994,0.8530066626614077
chr6,15244527,15248526,ENST00000341776,ENSG00000008083,JARID2,0.8846071198338228,0.185,0.087828,0.6463500000000003,0.9331491111735952
chr1,209755062,209759061,ENST00000009105,ENSG00000008118,CAMK1G,0.19429939454920805,0.689,0.40618,0.1076250000000001,0.761425576519916
chr6,50784436,50788435,ENST00000393655,ENSG00000008196,TFAP2B,0.6952662721893491,0.255,0.053798,0.26195,0.9545828555390834
chr6,50679541,50683540,ENST00000008391,ENSG00000008197,TFAP2D,0.509260529565098,0.246,0.051796,0.6357250000000002,0.8848988604017499
chr3,38078696,38082695,ENST00000308059,ENSG00000008226,DLEC1,0.40577046173635267,0.898,0.73074,0.08922500000000005,0.5751131671561158
chr7,6310276,6314275,ENST00000350796,ENSG00000008256,CYTH3,0.6420093863832212,0.364,0.14091,0.18324999999999997,0.8457659136817842
chr7,105751023,105755022,ENST00000011473,ENSG00000008282,SYPL1,0.8055864629569809,0.818,0.35725,0.09987499999999998,0.7730201706412794
chr17,49196227,49200226,ENST00000262013,ENSG00000008294,SPAG9,0.7005165406759984,0.147,0.070025,0.2204750000000001,0.9198621680599702
chr19,4341524,4345523,ENST00000262966,ENSG00000008382,MPND,0.5785021516738192,0.906,0.53421,0.10609999999999997,0.8301838808284103
chr12,16498712,16502711,ENST00000396209,ENSG00000008394,MGST1,0.3864447873627261,1.721,0.83447,0.02857499999999999,0.9360854426790025
chr12,107485608,107489607,ENST00000008527,ENSG00000008405,CRY1,0.639430906493221,0.808,0.55596,0.1759500000000001,0.8729084525764118
chr19,46524324,46528323,ENST00000008938,ENSG00000008438,PGLYRP1,0.3792720785514616,1.811,1.0839,0.03972500000000001,0.6211639251986012
chr8,134582184,134586183,ENST00000319914,ENSG00000008513,ST3GAL1,0.6923571098085033,0.501,0.19368,0.10912499999999997,0.7504711551078765
chr16,3094682,3098681,ENST00000336577,ENSG00000008516,MMP25,0.5905002264932375,1.233,0.84866,0.050875,0.465233425591852
chr17,38208659,38212658,ENST00000394128,ENSG00000008838,MED24,0.35562786655508843,0.681,0.48761,0.13337500000000016,0.8776581176820887
chr2,37309486,37313485,ENST00000233099,ENSG00000008869,HEATR5B,0.6157090466899866,0.625,0.49588,0.10245,0.9209450462624429
chr3,169682553,169686552,ENST00000337002,ENSG00000008952,SEC62,0.5539768355612094,0.292,0.092832,0.08622500000000008,0.9068904208448869
chr8,56985069,56989068,ENST00000519807,ENSG00000008988,RPS20,0.6981432999307875,0.978,0.42763,0.1353750000000001,0.7515877620519653
chr7,156929607,156933606,ENST00000348165,ENSG00000009335,UBE3C,0.7502085916516852,0.189,0.090081,0.07497500000000001,0.8963519059186612
chr6,111802916,111806915,ENST00000358835,ENSG00000009413,REV3L,0.8725562529267693,0.107,0.059236,0.2716750000000004,0.857890137050161
chr1,18955500,18959499,ENST00000375375,ENSG00000009709,PAX7,0.6831561208219034,0.56,0.26628,0.2310250000000001,0.8176583493282148
chr1,11105281,11109280,ENST00000400897,ENSG00000009724,MASP2,0.35492682803161385,1.14,0.81071,0.16402500000000003,0.5317806889859291
chr6,150688028,150692027,ENST00000229447,ENSG00000009765,IYD,0.20691003829097354,0.902,0.45724,0.04877499999999997,0.6879897526092552
chr1,28050568,28054567,ENST00000010299,ENSG00000009780,FAM76A,0.5880569648225055,0.763,0.42311,0.16565000000000013,0.8626705653021443
chr14,77785228,77789227,ENST00000261534,ENSG00000009830,POMT2,0.5709859023246806,0.776,0.5559,0.10527500000000005,0.8985805512419528
chr6,142466367,142470366,ENST00000367630,ENSG00000009844,VTA1,0.37769411650035944,0.897,0.49707,0.06544999999999998,0.9018606438740063
chr7,72934603,72938602,ENST00000339594,ENSG00000009954,BAZ1B,0.7388287520710785,0.107,0.041397,0.185475,0.8830001234290324
chr6,13709797,13713796,ENST00000011619,ENSG00000010017,RANBP9,0.8637038175223508,0.082,0,0.2485250000000003,0.9395961038159428
chr6,36353561,36357560,ENST00000340181,ENSG00000010030,ETV7,0.45958392586383884,1.494,1.0193,0.045800000000000014,0.6770984736519287
chr1,231471794,231475793,ENST00000295050,ENSG00000010072,SPRTN,0.7066627330268227,0.317,0.066781,0.48435000000000067,0.6238043398508492
chr1,171748842,171752841,ENST00000361735,ENSG00000010165,METTL13,0.5454968789152151,0.909,0.6133,0.056374999999999995,0.707278048522561
chr12,4712151,4716150,ENST00000545342,ENSG00000010219,DYRK4,0.36747701684692047,1.942,1.608,0.13982499999999995,0.9630980143066709
chr17,30675136,30679135,ENST00000394670,ENSG00000010244,ZNF207,0.6252043937441086,0.488,0.25994,0.09985,0.9463509662455936
chr3,48645471,48649470,ENST00000203407,ENSG00000010256,UQCRC1,0.5903885910337177,0.584,0.32362,0.11572500000000004,0.8289221417376115
chr7,38215824,38219823,ENST00000009041,ENSG00000010270,STARD3NL,0.5490060101710588,0.834,0.42233,0.060074999999999976,0.8889915383764104
chr3,42742320,42746319,ENST00000441594,ENSG00000010282,HHATL,0.1708527859173913,0.879,0.57113,0.12400000000000003,0.8994335794659883
chr12,6600545,6604544,ENST00000315579,ENSG00000010292,NCAPD2,0.573394495412844,0.603,0.45329,0.16439999999999988,0.7249513895654142
chr3,52487524,52491523,ENST00000345716,ENSG00000010322,NISCH,0.4003983964044224,0.263,0.15065,0.10317500000000013,0.8937830761783652
chr9,33748515,33752514,ENST00000361005,ENSG00000010438,PRSS3,0.46220807066647834,1.914,1.446,0.035550000000000005,0.7069021987414909
chr16,3283168,3287167,ENST00000431561,ENSG00000010539,ZNF200,0.505959800201276,1.167,0.70525,NA,0.7704156277509033
chr1,41705783,41709782,ENST00000337495,ENSG00000010803,SCMH1,0.6724214459379783,0.584,0.35289,0.13825000000000018,0.9438235930997244
chr6,112192656,112196655,ENST00000354650,ENSG00000010810,FYN,0.6590136054421769,0.275,0.12038,0.4203499999999998,0.9554345277357873
chr6,143264339,143268338,ENST00000367603,ENSG00000010818,HIVEP2,0.7675275122721575,0.081,0.025584,0.6002499999999994,0.9345094383826745
chr1,171225096,171229095,ENST00000354841,ENSG00000010932,FMO1,0.16408813877168307,1.06,0.71472,0.04577499999999996,0.5512622629417684
chr1,24067645,24071644,ENST00000418390,ENSG00000011007,TCEB3,0.6904621024393065,0.122,0.02573,0.10340000000000008,0.7264914476428869
chr1,24115460,24119459,ENST00000374514,ENSG00000011009,LYPLA2,0.3682713395435694,0.35,0.073675,0.13610000000000003,0.924712643678161
chr1,11864268,11868267,ENST00000346436,ENSG00000011021,CLCN6,0.46257437561785386,0.614,0.42662,0.12409999999999997,0.9084581134838422
chr5,149567520,149571519,ENST00000230671,ENSG00000011083,SLC6A7,0.336781566390495,0.961,0.66144,0.05109999999999995,0.9046073070639532
chr14,93797368,93801367,ENST00000334746,ENSG00000011114,BTBD7,0.760325347595073,0.488,0.31714,0.1763249999999999,0.7751760585228767
chr19,3759698,3763697,ENST00000316757,ENSG00000011132,APBA3,0.48394721172949773,1.256,0.86469,0.06830000000000001,0.7779886152442562
chr17,56294667,56298666,ENST00000393119,ENSG00000011143,MKS1,0.6045552535382885,1.033,0.75751,0.10557500000000004,0.8610516165019239
chr3,43730362,43734361,ENST00000458276,ENSG00000011198,ABHD5,0.704163365900889,1.019,0.64083,0.05182499999999999,0.898581890572306
chr19,15527866,15531865,ENST00000397410,ENSG00000011243,AKAP8L,0.4796362317964832,0.45,0.25769,0.03789999999999999,0.7141691904358501
chr17,49335428,49339427,ENST00000586178,ENSG00000011258,MBTD1,0.6943850676118595,0.079,0,0.31830000000000036,0.9004216239345434
chr17,49335889,49339888,ENST00000225298,ENSG00000011260,UTP18,0.7089327148057996,0.644,0.36924,0.31620000000000037,0.7419315169692101
chr7,5819371,5823370,ENST00000389902,ENSG00000011275,RNF216,0.6203483863747192,0.565,0.38523,0.07660000000000003,0.8513381114578958
chr17,15900694,15904693,ENST00000261647,ENSG00000011295,TTC19,0.7369051559716903,1.107,0.71925,0.07220000000000001,0.9347457302133967
chr11,61346299,61350298,ENST00000540677,ENSG00000011347,SYT7,0.5314525542007102,0.346,0.10997,0.23575000000000013,0.9042431780760023
chr3,45428053,45432052,ENST00000415258,ENSG00000011376,LARS2,0.45294162941221766,0.835,0.62433,0.05882499999999997,0.8152156605672926
chr11,17227531,17231530,ENST00000540361,ENSG00000011405,PIK3C2A,0.551826022724804,0.342,0.22825,0.1552249999999999,0.9245670394850545
chr19,44172503,44176502,ENST00000340093,ENSG00000011422,PLAUR,0.5296509978246476,0.823,0.41721,0.052525,0.7108783514963951
chr9,125701288,125705287,ENST00000373647,ENSG00000011454,RABGAP1,0.5183211427219911,0.077,0.016205,0.10967500000000004,0.9526198409678355
chr19,46193741,46197740,ENST00000012049,ENSG00000011478,QPCTL,0.6372549019607843,1.394,0.87762,0.11982500000000006,0.8501270516859736
chr19,46848251,46852250,ENST00000012443,ENSG00000011485,PPP5C,0.47225940800237987,0.208,0.066099,0.13572500000000004,0.83240396975088
chr2,65281506,65285505,ENST00000377990,ENSG00000011523,CEP68,0.576972741492891,0.443,0.21049,0.059724999999999966,0.6125519277381147
chr2,39662454,39666453,ENST00000263881,ENSG00000011566,MAP4K3,0.6631464010015797,0.343,0.21584,0.1759750000000001,0.9644782235922353
chr16,21167698,21171697,ENST00000233047,ENSG00000011638,TMEM159,0.42115188768289125,1.64,0.76378,0.027100000000000003,0.26338465052088506
chr19,45924825,45928824,ENST00000013807,ENSG00000012061,ERCC1,0.44814814814814813,1.269,0.78322,0.0874,0.8418565768045014
chr3,46504654,46508653,ENST00000231751,ENSG00000012223,LTF,0.2314349050469217,1.193,0.89979,0.035124999999999976,0.6009428779950567
chr8,28556844,28560843,ENST00000220562,ENSG00000012232,EXTL3,0.6994906253554519,0.652,0.41007,0.10785000000000008,0.9395232211460104
chr12,100895138,100899137,ENST00000551379,ENSG00000012504,NR1H4,0.17941659703198434,0.612,0.361,0.10270000000000003,0.9622751720308679
chr6,53211749,53215748,ENST00000541407,ENSG00000012660,ELOVL5,0.7963969901686164,0.348,0.13472,0.11815000000000002,0.6936812886991485
chr12,54119225,54123224,ENST00000550804,ENSG00000012822,CALCOCO1,0.3624096213043167,0.651,0.43374,0.21260000000000015,0.7648562032992895
chr14,93671401,93675400,ENST00000013070,ENSG00000012963,UBR7,0.5651922873616498,0.445,0.21158,0.1102,0.9001912949323989
chr14,50997328,51001327,ENST00000013125,ENSG00000012983,MAP4K5,0.7286698463169051,0.243,0.12314,0.23665000000000003,0.9446619809825749
chr19,40474912,40478911,ENST00000157812,ENSG00000013275,PSMC4,0.4503967714058103,0.49,0.23308,0.13274999999999998,0.8913061516173241
chr4,6574902,6578901,ENST00000285599,ENSG00000013288,MAN2B2,0.35898838195802923,1.004,0.77143,0.05969999999999998,0.6379713113634174
chr3,170301864,170305863,ENST00000231706,ENSG00000013293,SLC7A14,0.4707907577664752,0.561,0.31095,0.08630000000000006,0.8931522789125581
chr3,170134653,170138652,ENST00000064724,ENSG00000013297,CLDN11,0.6529293762376663,0.378,0,0.07610000000000003,0.7269515776296783
chr17,42400184,42404183,ENST00000377095,ENSG00000013306,SLC25A39,0.7374959136972867,1.213,0.80881,0.060599999999999994,0.5932246122019693
chr16,29829729,29833728,ENST00000357402,ENSG00000013364,MVP,0.23011807248719282,0.731,0.49266,0.07070000000000001,0.8070515550982617
chr7,151036797,151040796,ENST00000568733,ENSG00000013374,NUB1,0.5614072608672406,0.59,0.36397,0.07444999999999999,0.7089199621644281
chr6,83901634,83905633,ENST00000506587,ENSG00000013375,PGM3,0.6501899651404175,0.679,0.43409,0.15654999999999997,0.8075241468220611
chr6,83901098,83905097,ENST00000369724,ENSG00000013392,RWDD2A,0.6771413159495472,1.606,0.96249,0.09272499999999993,0.6909464854313685
chr2,201727285,201731284,ENST00000434813,ENSG00000013441,CLK1,0.7421962700926447,0.787,0.51118,0.05705,0.8748287561064246
chr12,106749436,106753435,ENST00000228347,ENSG00000013503,POLR3B,0.6425592215854001,0.814,0.63329,NA,0.9249258357130251
chr14,77277284,77281283,ENST00000251089,ENSG00000013523,ANGEL1,0.4962739432166556,0.778,0.52997,0.118775,0.849112239308254
chr5,141346604,141350603,ENST00000394520,ENSG00000013561,RNF14,0.48692869724214516,0.686,0.39291,0.08957499999999997,0.9282372445643787
chr12,31224779,31228778,ENST00000407793,ENSG00000013573,DDX11,0.4832797493498249,0.93,0.70989,0.030849999999999992,0.7804560687687279
chr12,13151208,13155207,ENST00000014930,ENSG00000013583,HEBP1,0.6979502796495851,1.662,0.9208,0.16212499999999996,0.7083718682611395
chr6,96967684,96971683,ENST00000369278,ENSG00000014123,UFL1,0.5240923892130753,0.854,0.61129,0.10800000000000001,0.9231381522150979
chr11,65027233,65031232,ENST00000265465,ENSG00000014138,POLA2,0.6294594564033366,0.621,0.40355,0.06607499999999994,0.793111466351624
